rev 76b09528c07ca70dfd1c7c717c887053d59f3b71
start 21:52:38
tree_at_start 0
1	make test	2	226	2 failed, 2119 passed, 6 warnings, 627 subtests passed in 22
2	make smoke	0	1	SMOKE OK — bridge-only loop: connect, scout, allocate, gen
3	python3 docs/design-packet-v0.8/check_packet.py	0	1	prose matches the models across 11 documents (1325 known ide
4	make export && git diff --exit-code -- bridge/archipepsi_bridge/schemas/generated godot/scripts/autoload/constants.gd apworld/archipepsi/constants.py	1	1	
5	make godot-import	0	15	
6	make doctor	0	4	
7	make godot-boot	0	21	GODOT BOOT TESTS OK
8	make godot-test	0	28	GODOT CHAMBER TESTS OK
9	make godot-hud	0	21	GODOT HUD TESTS OK
10	make godot-rules	0	20	GODOT RULES TESTS OK
11	make godot-stats	0	20	GODOT STATS TESTS OK
12	make godot-lab	0	19	GODOT LAB TESTS OK
13	make godot-affordance	0	21	GODOT AFFORDANCE TESTS OK
14	make godot-verbs	0	22	GODOT VERBS TESTS OK
15	make godot-blink	0	23	GODOT BLINK TESTS OK
16	make godot-content	0	20	GODOT CONTENT TESTS OK
17	make godot-activity	0	38	GODOT ACTIVITY TESTS OK
18	make godot-room	0	20	GODOT ROOM TESTS OK
19	make godot-room-contract	0	143	GODOT ROOM CONTRACT TESTS OK
20	make godot-graphs	0	132	GODOT GRAPH TESTS OK
21	make godot-movement	0	22	GODOT MOVEMENT TESTS OK
22	make godot-zone-audit	0	24	GODOT ZONE AUDIT OK
23	make godot-legible	0	20	GODOT LEGIBILITY TESTS OK
24	make godot-physics	0	132	GODOT PHYSICS TESTS OK (68 checks)
25	make godot-traverse	0	60	GODOT TRAVERSE TESTS OK (37 checks)
26	make godot-return-placement	0	19	GODOT RETURN PLACEMENT OK
27	make godot-build-failure	0	21	GODOT RELOAD TESTS OK (6 checks)
28	make godot-exit-reach	0	35	GODOT EXIT REACH OK (81 checks)
29	make godot-passenger-carry	0	43	GODOT PASSENGER CARRY OK (4 checks)
30	make godot-rail-carrier	0	25	GODOT RAIL CARRIER OK (73 checks)
31	make godot-rail-junction	0	118	GODOT RAIL JUNCTION OK (140 checks)
32	make godot-passing-platforms	0	89	GODOT PASSING PLATFORMS OK (70 checks, 7 notes)
33	make godot-counterfire	0	82	GODOT COUNTERFIRE OK (59 checks, 2 notes)
34	make godot-mass-class	0	38	GODOT MASS CLASS OK (59 checks, 1 notes)
35	make godot-unweighted	0	177	GODOT UNWEIGHTED OK (70 checks, 2 notes)
36	make godot-target-facing	0	20	GODOT TARGET FACING OK (2 checks)
37	make godot-rail-zone	0	23	GODOT RAIL ZONE OK (25 checks, 2 notes)
38	make godot-zone-state	0	26	GODOT ZONE STATE OK (60 checks, 3 notes)
39	make godot-roster	0	58	GODOT ROSTER OK (52 checks, 5 notes)
40	make godot-actuator	0	35	GODOT ACTUATOR OK (93 checks, 1 notes)
41	make godot-constraints	0	101	GODOT CONSTRAINTS OK (67 checks, 2 notes)
42	make godot-archive	0	19	GODOT ARCHIVE OK (23 checks, 0 notes)
43	make godot-consumable	0	23	GODOT CONSUMABLE TESTS OK (91 checks)
44	make godot-encounter	0	85	GODOT ENCOUNTER TESTS OK (51 checks, 2 notes)
45	make godot-signal-graph	0	38	GODOT SIGNAL GRAPH TESTS OK (59 checks, 0 notes)
46	make godot-latched-route	0	92	GODOT LATCHED ROUTE TESTS OK (38 checks, 2 notes)
47	make godot-theme-pack	0	20	GODOT THEME PACK TESTS OK (30 checks, 0 notes)
48	make godot-carry	0	41	GODOT CARRY TESTS OK (32 checks, 1 notes)
49	make godot-transport	0	393	GODOT TRANSPORT TESTS OK (106 checks, 6 notes)
50	make godot-reversible	0	108	GODOT REVERSIBLE TESTS OK (32 checks, 0 notes)
51	make godot-verb-runtime	0	75	GODOT VERB RUNTIME OK (95 checks, 1 notes)
52	make godot-status-family	0	44	GODOT STATUS FAMILY OK (15 checks, 1 notes)
53	make godot-combat-fairness	0	185	GODOT COMBAT FAIRNESS OK (50 checks, 0 notes)
54	make godot-flyer-room	0	44	GODOT FLYER ROOM OK (7 checks, 0 notes)
55	make godot-resume	0	23	GODOT RESUME TESTS OK (12 checks, 0 notes)
56	make godot-consumable-live	0	33	GODOT CONSUMABLE LIVE TESTS OK (1 notes)
57	make godot-consumable-restart	0	36	GODOT CONSUMABLE LIVE TESTS OK (1 notes)
58	make godot-latched-route-live	0	79	GODOT LATCHED LIVE RESTORE OK (12 checks, 1 notes)
59	make godot-transport-live	0	164	GODOT TRANSPORT LIVE RESTORE OK (12 checks, 0 notes)
60	make godot-reversible-live	0	80	GODOT REVERSIBLE LIVE RESTORE OK (6 checks, 0 notes)
61	make godot-candidate-live	0	298	GODOT CANDIDATE LIVE NEXT_FINAL OK (7 checks, 1 notes)
62	make godot-resume-live	0	101	GODOT RESUME LIVE LEGACY OK (6 checks, 0 notes)
63	make godot-ordinary-live	0	31	GODOT RELOAD TESTS OK (10 checks)
64	make godot-integration	0	108	GODOT INTEGRATION OK
65	make godot-integration-quiet	0	110	GODOT INTEGRATION OK
66	make godot-integration-variant-live	0	29	GODOT INTEGRATION OK
67	make godot-reload	0	55	GODOT RELOAD TESTS OK (20 checks)
68	make version	0	0	
end 23:03:57
tree_at_end  M bridge/archipepsi_bridge/schemas/generated/protocol.schema.json  M godot/tests/fixtures/placement/captures.json 
DONE
