candidate_zone_001_e2dd51ae74e3.json: 10 branch route(s) kept the spine clear, 0 fell back
candidate_zone_002_83cab638c71e.json: 10 branch route(s) kept the spine clear, 0 fell back
candidate_zone_003_86832f692325.json: 10 branch route(s) kept the spine clear, 0 fell back
candidate_zone_004_d2bf871d5f29.json: 49 branch route(s) kept the spine clear, 5 fell back
candidate_zone_005_ed6d6b265524.json: 10 branch route(s) kept the spine clear, 0 fell back
candidate_zone_006_3f7da9f7dcae.json: 10 branch route(s) kept the spine clear, 0 fell back
candidate_zone_006_8d06d02b2925.json: 0 branch route(s) kept the spine clear, 0 fell back
candidate_zone_007_16d1c5f3ccc2.json: 48 branch route(s) kept the spine clear, 6 fell back
candidate_zone_007_592c0a232235.json: 10 branch route(s) kept the spine clear, 0 fell back
candidate_zone_008_1bcdec470f2d.json: 1 branch route(s) kept the spine clear, 0 fell back
candidate_zone_008_3e6768297297.json: 48 branch route(s) kept the spine clear, 3 fell back
candidate_zone_009_229f0fb0bfe7.json: 10 branch route(s) kept the spine clear, 0 fell back
candidate_zone_009_ba9ae1a2ad50.json: 10 branch route(s) kept the spine clear, 0 fell back
candidate_zone_010_64b65729399d.json: 11 branch route(s) kept the spine clear, 1 fell back
candidate_zone_010_a864eb6e24ae.json: 9 branch route(s) kept the spine clear, 0 fell back
candidate_zone_011_2431cc0dd8fc.json: 30 branch route(s) kept the spine clear, 0 fell back
candidate_zone_011_7d750be066b5.json: 16 branch route(s) kept the spine clear, 1 fell back
candidate_zone_012_06041737245b.json: 8 branch route(s) kept the spine clear, 0 fell back
candidate_zone_012_ef6e612a5354.json: 10 branch route(s) kept the spine clear, 0 fell back
sample_zone_01.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_02.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_03.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_04.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_05.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_06.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_07.json: 11 branch route(s) kept the spine clear, 1 fell back
sample_zone_08.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_09.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_10.json: 7 branch route(s) kept the spine clear, 0 fell back
sample_zone_11.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_12.json: 7 branch route(s) kept the spine clear, 0 fell back
sample_zone_13.json: 14 branch route(s) kept the spine clear, 0 fell back
sample_zone_14.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_15.json: 20 branch route(s) kept the spine clear, 3 fell back
sample_zone_16.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_17.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_18.json: 8 branch route(s) kept the spine clear, 0 fell back
sample_zone_19.json: 5 branch route(s) kept the spine clear, 0 fell back
sample_zone_20.json: 8 branch route(s) kept the spine clear, 0 fell back
DONE
